color,name,population
#36ee80,Groenland,56
#4bfd20,Kanada,11355
#3fa110,Nordrussland,13583
#251430,Westsiberien,27012
#100590,Skandinavien,27506
#83d600,Mittelsiberien,10620
#9dedb0,Ostsiberien,4504
#6ec760,Alaska,737
#576ed0,Britische Inseln,72220
#5b8d80,Weinland,26655
#8b9e30,Moskau,68338
#358ef0,Osteuropa,60137
#0afc80,Westrussland,50580
#7cf830,Kleinpreussen,437
#1e3660,Heimat,92157
#bfcd90,China,1402000
#79c3e0,Niederlande,29550
#0e30d0,Frankreich,67390
#c3ec40,Suedrussland,25638
#e6b680,VS Norden,68841
#cd1400,VS Westen,78667
#8e5d50,Balkan,70855
#d55160,Schweiz,8637
#b8efc0,VS Ost,57159
#2a9270,Italien,59550
#4100a0,Japan,176059
#28bdb0,Spanien,57660
#9ab960,Nordkorea,25780
#c37710,Tuerkei,84340
#bd83a0,VS Sued,127225
#e81610,Iran,83990
#75a530,Nordafrika,93579
#bc9940,Arabien,153545
#467ee0,Pakistan,220900
#e975a0,Indien,1380000
#dd8ec0,Israel,9217
#d9e540,Aegypten,102300
#8de820,Suedamerika,301308
#26e8f0,Australien,25690
#c96a80,Suedafrika,59310
#149970,Neuseeland,5084
